Source,Target,Weight
101507701120266,230790800960105,8139
540590620800111,170280690770114,-3537
1010017029099,280610670890236,10607
2206207601210412,1702505101020157,3125
50240510840412,1013028048081,5137
1706406701050126,240370640840222,3761
24029011502220412,5107608901140254,6942
1802506201040127,70190310670117,2910
120220510550222,100370690860222,-2329
2103505501220267,100250290360121,-464
240450580670267,8108409201050412,-2041
70190540890119,1605107601020121,8334
90160250580236,701903601020119,-1198
29054012202360238,1002404401020104,6705
1602908901020222,3506407601170236,3530
50102011501170236,1301906101330412,5621
180240480890104,160360760810254,6009
160290510640112,10013015039053,565
2103909201030267,13024011902540412,5154
1036048051061,180540550560412,6908
13024051053058,150190380750412,8608
4005606701150254,2905908601340412,4670
420440550800126,23057011501170236,1969
1905107601270238,75077013102220412,3204
1206708501020134,3605308401070222,2480
502306701150412,290320790840102,-2832
7029040041051,140160640670266,9368
50130510990412,290380480560117,1727
70760860920236,190890920990222,6636
53061010201070236,39063064081089,3344
18025038048056,19068022202380412,505
500510770920267,10250290640157,7915
42054010101210267,51064011401150412,11492
505807601100412,4012048051072,1633
40280530580236,2002305101150267,4395
250360480550236,51053058076077,4926
5108009201340412,35042010201050161,7161
5306408101150157,89098010501070119,7567
1502003801070117,220230610990102,2006
11016021026080,50290480550412,8562
320420610850412,130530800810222,6559
90102013402220412,13022064081092,8310
61064015702360412,6406708901020154,8064
620115023602540412,29064076080099,2339
1050270670105,13076010202220412,8296
70600890980222,1101702701170238,-1467
19062015701610222,51080012102380412,5631
90130190670117,5907609901260236,2936
11025042063086,24032051076089,5916
1105309901020119,130630770810412,3633
19058076081089,1150126015702360266,4484
100210230530157,760810820860102,10194
130190530760236,702103201070254,4342
420610620790102,430510530770127,-53
3709209901570222,11051010201170412,5615
670107012102380412,2202409901150122,-2270
1703109601570267,350102010302220267,321
330450740890110,15016017035056,-3631
1070170350104,64075012702360412,11417
170320780890222,701602201210157,3358
1090290610222,11018053084092,5625
40250270800119,620114011502220238,2847
62099011001110117,310430560580222,2080
11020011901310412,18024025060090,7630
25064010201040117,70190750890236,15353
330102011702360412,7019067089092,9938
31076010202220412,2003706701570236,-1193
50180600760238,3705107701110157,2776
11021041061064,110170370690236,3918
170530610620222,1102606401430222,8593
1905306301110412,2903603701060134,3421
5307607901170222,1702205501540157,-320
2903309101170267,5092011701340222,-979
28092015702220412,400670770820126,4728
89098012001570236,5108009101050117,2184
70240510620412,1903708601050236,1692
15025028061092,43062012001340222,8252
100190510760412,4105405501610236,2890
250580610770222,70190430920236,-328
7075023602540412,15063064089092,3259
502704401040143,902405901190157,6615
1605308401570222,1705608002360267,-109
2406106701020412,39067012101340412,6723
290320760920102,240400580670112,4559
7080210890121,1903505401040134,5995
19022012702220267,310670760850102,10434
110170680760126,190510640840117,107
501703701020161,4017050067080,7970
130200560670254,58077013402220412,2936
50250640890222,180240620760161,8003
902302901170412,5106408901540238,10311
51064011502660412,250330590960238,3933
160550580670121,5098010501430222,5882
16024061064067,24051056061089,4688
160620640810157,50220910990122,-197
102403201040105,207039081099,2977
16076010201260236,6208108501570412,6776
601108901110114,13054060067082,14715
80110670760412,210330380670412,4449
290440610770133,2805406101430157,4891
2304809901330412,360480530760157,-1204
80190510530238,100130690720133,5282
13019021055089,307708901220133,3828
160300420680126,70320760800222,4581
2206907601110120,110250610750119,2680
29098010301310412,701103901430222,5713
1105808402220412,240330480760236,11222
24091013101340222,550670800920120,3241
29031011101340412,2907608901110134,7703
100210250620131,5407607902360412,-3797
5058011701190131,100230250670121,502
51099012001570412,40150540770121,3196
9019022040055,1017024056067,4968
100180640760412,105605801100238,13316
100220370540115,502905801570412,988
160510610770122,430580810920133,5719
25085022202380412,1504006401120114,9802
550590890920110,17033053067099,5304
29074010201190143,12064010201570236,-9144
106006201190157,120410760770103,4895
24035067076089,25048010201570236,5664
400510580640115,5010018030037,12389
160350790920222,100430810890254,3749
13053010201570236,5806108101140117,522
250510620860157,13024029059099,3734
130250510810121,50907901570236,823
3606106702540412,2505807701040105,3265
1906208201170236,503708101050122,5557
17054011901570412,1601907702360267,3594
801101801030412,1908408901050110,4869
750115012102360412,190550680760105,7709
40560580890236,130240370510238,857
102907401170131,230290610750222,-3236
2402903501120117,70220230570254,8652
100160360920115,5305606801030110,3374
1503905301020126,190370480610222,1755
50160810980412,290560790860115,3094
701609202360254,40510580800412,-1808
190210680760105,160320510580114,8361
39051012101570412,2506407601070222,5633
40350530800119,23025051077090,4118
5012013015016,90190240510238,6674
7016024036051,210560580810111,2793
701904102220267,1702506701540412,6586
11016036043096,21058012101570267,4127
7029036075099,530560800990222,3687
5017029043092,170190800840222,3753
1601807601050121,250320610810102,1892
160250560640222,14029033058099,12672
28048053076081,1906406801190238,3014
15016055058089,10022025030086,-569
1905507502220267,90360510540412,4190
5024051076089,10025012102220238,573
2406709901020117,1902105801120412,901
5106207501150117,70150230630122,276
110180530550122,44059013402220254,5683
2502907501050113,190210630920412,9053
110250580810157,280430890920222,8789
31089011001570254,480560760840222,7409
1704809201150222,1019022048075,-505
6408608901430222,29064010602380412,4309
10024029064091,36055011101210222,8648
680107014301570222,701506402380412,1360
709051077098,4406708901330238,1452
61080010402660412,2503905501020222,3034
701001901170222,3305105401610238,-2350
760770890900236,320510680800117,3808
130250760770222,1501906101570267,690
16025060067076,610640750810161,1864
2402505602220267,76084011901200412,4589
230250510900254,502006401040412,-4751
7029037056084,1806208901150254,3496
51053055076092,100104011701210238,327
2403706001570222,610620640780222,3462
4080590990236,401907501110126,9982
110550850890104,110220230830117,5148
10150170330267,2507708601220222,8360
11086013102220412,140170510760254,-1899
70480580960412,70230560670412,7946
40290530850266,80180540810121,2099
260270510610157,507067089092,12171
1802505501020254,50100680810412,2672
240430510760103,170670800900412,-720
2505809201210236,13042043053077,10212
70180390770117,8064011502360412,-1280
13019022053099,90119023802660412,5671
18023034062089,25054056081091,7802
230250430590133,6407708901170236,2606
402708002360412,62076014301570222,11572
705706901540236,2011017038055,8383
170290620630157,220101010201070267,5079
7016010202220254,3706408101220238,3582
55067010201210412,110550670810143,381
1015037053064,190430610670102,-1598
5027053061081,70802402360412,4350
502302502360412,180190570890254,5510
1601908901020236,25064010401050126,-3482
190400510580115,4106408101340267,-1182
1040106013102380412,37051010301070119,6647
230260640810412,34039044051077,10192
23025029036076,67080010701150267,3432
17054015702220412,130320720790222,8682
50170530760236,2905505601170157,4543
1507607801210412,24051059089090,1839
61067015702540412,18024011101330238,6795
5013021025063,10380510580120,4118
160510640770267,40240690840157,-868
240350510800412,20510530720161,6842
24076011901430254,901108501070236,5964
40220750890121,67092011701570238,12350
40430560850222,10290780810157,5743
1902002901170267,606406701340222,11918
3505308301430236,505105801050412,3913
50290580890103,16019056061081,8155
40190240430222,906006401150119,8591
1062012101610236,1702507701100115,397
350530580810105,70370640910236,-481
19051063064084,1106707701170412,6439
4305806401430222,506908101570412,2272
4005806401030236,9032067089092,2620
